"","Pollutant","Units"
"1","NOx
(as NO2)","kt"
"2","NMVOC","kt"
"3","SOx 
(as SO2)","kt"
"4","NH3","kt"
"5","PM2.5","kt"
"6","PM10","kt"
"7","TSP","kt"
"8","BC","kt"
"9","CO","kt"
"10","Pb","t"
"11","Cd","t"
"12","Hg","t"
"13","As","t"
"14","Cr","t"
"15","Cu","t"
"16","Ni","t"
"17","Se","t"
"18","Zn","t"
"19","PCDD/ PCDF
(dioxins/ furans)","g I-TEQ"
"20","benzo(a) pyrene","t"
"21","benzo(b) fluoranthene","t"
"22","benzo(k) fluoranthene","t"
"23","Indeno (1,2,3-cd) pyrene","t"
"24","Total 1-4","t"
"25","HCB","kg"
"26","PCBs","kg"
